src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/DFA\2022\DFA_2022_15_4e352683_application_20220926_z5cQX.jpg,标准化输出/logo/DFA\2022\DFA_2022_15_4e352683_application_20220926_z5cQX.png,8ed1a4b3a368,3543,2530,2848,2126,0.1573,512,448,True,False,255,logo
图包/中文奖项/DFA\2022\DFA_2022_16_abf28330_application_20220926_DMFBx.jpg,标准化输出/logo/DFA\2022\DFA_2022_16_abf28330_application_20220926_DMFBx.png,04c0461f3201,2400,1800,2400,1800,0.1867,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_01_8f3e2e77_application_20231024_YxcT9.jpg,标准化输出/logo/DFA\2023\DFA_2023_01_8f3e2e77_application_20231024_YxcT9.png,a7e6cbde3af3,2499,1764,1096,1294,0.3462,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_02_9e4cfc0e_application_20231027_VMJPf.jpg,标准化输出/logo/DFA\2023\DFA_2023_02_9e4cfc0e_application_20231027_VMJPf.png,792382a24f38,2499,1407,2499,1407,0.1793,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_03_b5ee1fcc_application_20231027_NJjoD.jpg,标准化输出/logo/DFA\2023\DFA_2023_03_b5ee1fcc_application_20231027_NJjoD.png,cf7a2f486603,2499,1663,2499,1663,0.1793,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_04_046515e1_application_20231024_5LY7P.jpg,标准化输出/logo/DFA\2023\DFA_2023_04_046515e1_application_20231024_5LY7P.png,a07e203389bc,1870,2497,1870,2497,0.1794,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_05_c912e919_application_20231024_G9a49.jpg,标准化输出/logo/DFA\2023\DFA_2023_05_c912e919_application_20231024_G9a49.png,eae528e627f1,4240,2832,4240,2832,0.1057,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_06_16870d1b_application_20231024_D892n.jpg,标准化输出/logo/DFA\2023\DFA_2023_06_16870d1b_application_20231024_D892n.png,9599371891e6,3595,2400,3242,2239,0.1382,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_07_6310e882_application_20231024_TLw9D.jpg,标准化输出/logo/DFA\2023\DFA_2023_07_6310e882_application_20231024_TLw9D.png,b67b37a6003c,3646,2917,1648,2295,0.1952,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_08_1bc6c2d8_application_20231024_PIpRT.jpg,标准化输出/logo/DFA\2023\DFA_2023_08_1bc6c2d8_application_20231024_PIpRT.png,71d192d1332a,3158,2233,3158,2233,0.1419,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_09_55e1e67d_application_20231024_kFFHl.jpg,标准化输出/logo/DFA\2023\DFA_2023_09_55e1e67d_application_20231024_kFFHl.png,bd89382e4835,4960,3307,1381,1381,0.3244,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_10_000a9c1b_application_20231024_ptHrP.jpg,标准化输出/logo/DFA\2023\DFA_2023_10_000a9c1b_application_20231024_ptHrP.png,cdd4f61841e9,2400,1800,1232,969,0.3636,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_11_4d156341_application_20231024_eccHF.jpg,标准化输出/logo/DFA\2023\DFA_2023_11_4d156341_application_20231024_eccHF.png,a4b7e6cdba12,4096,2304,2568,2264,0.1745,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_12_fb205797_application_20231024_jBiZO.jpg,标准化输出/logo/DFA\2023\DFA_2023_12_fb205797_application_20231024_jBiZO.png,a9259e4701f5,3072,4961,2680,4643,0.0965,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_13_68648741_application_20231024_76L2x.jpg,标准化输出/logo/DFA\2023\DFA_2023_13_68648741_application_20231024_76L2x.png,cd02bda046a5,4800,3202,4800,3202,0.0933,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_14_115646d0_application_20231027_96MF9.jpg,标准化输出/logo/DFA\2023\DFA_2023_14_115646d0_application_20231027_96MF9.png,280b31aae3d6,2800,1867,2800,1867,0.16,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_15_34b6592b_application_20231027_VvYqm.jpg,标准化输出/logo/DFA\2023\DFA_2023_15_34b6592b_application_20231027_VvYqm.png,3b452c3ee60a,2717,1813,2717,1813,0.1649,512,448,True,False,255,logo
图包/中文奖项/DFA\2023\DFA_2023_16_58370ec3_application_20231027_NUK1E.jpg,标准化输出/logo/DFA\2023\DFA_2023_16_58370ec3_application_20231027_NUK1E.png,acd6ceb3d278,7889,4292,7877,3454,0.0569,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_01_09b2832a_application_20241030_NAYWg.JPG,标准化输出/logo/DFA\2024\DFA_2024_01_09b2832a_application_20241030_NAYWg.png,45b7a8ead6e0,3750,2500,3750,2500,0.1195,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_02_816ea828_application_20241030_reaCt.jpg,标准化输出/logo/DFA\2024\DFA_2024_02_816ea828_application_20241030_reaCt.png,e4ee73a007f4,2400,3394,2400,3394,0.132,512,448,True,False,255,logo
