src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/WOLDA\2023\WOLDA_2023_16_7fcf474c_15-WOLDA-Cat-221.jpg,标准化输出/logo/WOLDA\2023\WOLDA_2023_16_7fcf474c_15-WOLDA-Cat-221.png,159f39c150eb,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2023\WOLDA_2023_17_b4106a9d_15-WOLDA-Cat-223.jpg,标准化输出/logo/WOLDA\2023\WOLDA_2023_17_b4106a9d_15-WOLDA-Cat-223.png,8b61dd01f546,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2023\WOLDA_2023_18_be08e1d3_15-WOLDA-Cat-224.jpg,标准化输出/logo/WOLDA\2023\WOLDA_2023_18_be08e1d3_15-WOLDA-Cat-224.png,854ac1205042,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_01_e9f3579c_preloader.png,标准化输出/logo/WOLDA\2024\WOLDA_2024_01_e9f3579c_preloader.png,4b87f7b44723,239,239,230,230,1.9478,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_02_24808a0c_16-WOLDA-Results-Cat-211.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_02_24808a0c_16-WOLDA-Results-Cat-211.png,7c8faed6a587,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_03_acce3edb_16-WOLDA-Results-Cat-213.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_03_acce3edb_16-WOLDA-Results-Cat-213.png,476d54a2f9b1,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_04_ca455a6d_16-WOLDA-Results-Cat-215.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_04_ca455a6d_16-WOLDA-Results-Cat-215.png,4bc0c6cf131b,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_05_82130522_16-WOLDA-Results-Cat-217.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_05_82130522_16-WOLDA-Results-Cat-217.png,d30a24ce373d,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_06_67718b2e_16-WOLDA-Results-Cat-219.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_06_67718b2e_16-WOLDA-Results-Cat-219.png,783e2366aa02,1276,1276,1076,1052,0.4164,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_07_e56fbe23_16-WOLDA-Results-Cat-221.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_07_e56fbe23_16-WOLDA-Results-Cat-221.png,dbf305563b19,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_08_9921b4ee_16-WOLDA-Results-Cat-223.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_08_9921b4ee_16-WOLDA-Results-Cat-223.png,99032157f053,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_09_8d83c0ce_16-WOLDA-Results-Cat-225.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_09_8d83c0ce_16-WOLDA-Results-Cat-225.png,67a69c505154,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_10_6411b550_16-WOLDA-Results-Cat-227.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_10_6411b550_16-WOLDA-Results-Cat-227.png,955a79c504fe,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_11_7a53fa32_16-WOLDA-Results-Cat-229.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_11_7a53fa32_16-WOLDA-Results-Cat-229.png,fc34bec3b676,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_12_339140be_16-WOLDA-Results-Cat-231.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_12_339140be_16-WOLDA-Results-Cat-231.png,7607af6241d5,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_13_fb49af55_16-WOLDA-Results-Cat-233.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_13_fb49af55_16-WOLDA-Results-Cat-233.png,b08ed78cd468,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_14_050e2dd8_16-WOLDA-Results-Cat-235.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_14_050e2dd8_16-WOLDA-Results-Cat-235.png,cd6655d4e8dc,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_15_48e500c2_16-WOLDA-Results-Cat-237.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_15_48e500c2_16-WOLDA-Results-Cat-237.png,58eb3a2cb81b,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_16_188f4501_16-WOLDA-Results-Cat-25.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_16_188f4501_16-WOLDA-Results-Cat-25.png,6dde102969e5,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_17_2835c0b7_16-WOLDA-Results-Cat-27.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_17_2835c0b7_16-WOLDA-Results-Cat-27.png,346222e2474a,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2024\WOLDA_2024_18_d247745e_16-WOLDA-Results-Cat-29.jpg,标准化输出/logo/WOLDA\2024\WOLDA_2024_18_d247745e_16-WOLDA-Results-Cat-29.png,9b223dfeba6a,1276,1276,1064,1052,0.4211,512,448,True,False,255,logo
