license_id,spdx_or_description,uri,redistribution_note
APPLE_SYSTEM_FONT_LICENSE,Apple system font license,https://www.apple.com/legal/sla/,Do not redistribute; fixture-only metadata and hashes
OFL-1.1,SIL Open Font License 1.1,https://scripts.sil.org/OFL,Use for cleared Noto/Source Han replacement assets
