font_id,role,family_name,file_path,font_version,variable_axes,unicode_coverage_status,source_uri,accessed_at,license_id,license_uri,license_text_path,license_text_sha256,redistributable,distribution_tier,sha256,reviewer,reviewed_at
font_noto_sans_latn,WP3_baseline,Noto Sans,data/assets/fonts/NotoSans-Regular.ttf,Noto Sans Regular,,complete,https://github.com/notofonts/latin-greek-cyrillic/tree/main/fonts/NotoSans/full/ttf,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,b85c38ecea8a7cfb39c24e395a4007474fa5a4fc864f6ee33309eb4948d232d5,GLYPH,2026-08-29
font_noto_sans_sc,WP3_baseline,Noto Sans CJK SC,data/assets/fonts/NotoSansCJKsc-Regular.otf,Noto Sans CJK SC Regular,,complete,https://github.com/notofonts/noto-cjk/tree/main/Sans/OTF/SimplifiedChinese,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,2c76254f6fc379fddfce0a7e84fb5385bb135d3e399294f6eeb6680d0365b74b,GLYPH,2026-08-29
font_noto_sans_jp,WP3_baseline,Noto Sans CJK JP,data/assets/fonts/NotoSansCJKjp-Regular.otf,Noto Sans CJK JP Regular,,complete,https://github.com/notofonts/noto-cjk/tree/main/Sans/OTF/Japanese,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,68a3fc98800b2a27b371f2fb79991daf3633bd89309d4ffaa6946fd587f375b5,GLYPH,2026-08-29
font_noto_sans_kr,WP3_baseline,Noto Sans KR,data/assets/fonts/NotoSansKR-static.ttf,Noto Sans KR Regular (wght=400 instance),,complete,https://github.com/notofonts/noto-cjk/tree/main/Sans/Variable/OTF,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,16108566d8a2dd4c450801d99ddf693f5b09f6fbade5d63e9e0e748c70f78e87,GLYPH,2026-08-29
font_noto_serif_sc,WP4_serif_example,Noto Serif SC,data/assets/fonts/NotoSerifSC-Regular.ttf,Noto Serif SC Regular (wght=400 instance),,complete,https://github.com/notofonts/noto-cjk/tree/main/Serif/Variable/OTF/SimplifiedChinese,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,c4440d9047327dc4fee135a28830b685b7852a2593d50d679193fab0054fe8d5,GLYPH,2026-08-29
font_bpmf_iansui,WP4_regular_hand_example,Bpmf Iansui,data/assets/fonts/BpmfIansui-Regular.ttf,Bpmf Iansui Regular,,complete,https://github.com/google/fonts/tree/main/ofl/bpmfiansui,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,b9e2e079ed3c4092be15758d8fa5a2e01faf27493e4ce7e1a4f346359f435cbe,GLYPH,2026-08-29
font_lxgw_marker_gothic,WP4_decorative_example,LXGW Marker Gothic,data/assets/fonts/LXGWMarkerGothic-Regular.ttf,LXGW Marker Gothic Regular,,complete,https://github.com/google/fonts/tree/main/ofl/lxgwmarkergothic,2026-08-29,OFL-1.1,https://openfontlicense.org/,data/assets/fonts/OFL.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,true,public,f8715a0406d71876832162acdcc27321bb58f77df0d7ad60c4aef48750da4a3f,GLYPH,2026-08-29
