award,year,file,url,bytes,page,fetched
WOLDA,2020,WOLDA_2020_01_e9f3579c_preloader.png,https://wolda.org/wp-content/uploads/2020/12/preloader.png,20614,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:06
WOLDA,2020,WOLDA_2020_02_0f6d1ac3_12th-WOLDA-Cat-1106-1.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-1106-1.jpg,182394,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:09
WOLDA,2020,WOLDA_2020_03_0d850522_12th-WOLDA-Cat-21.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-21.jpg,181819,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:11
WOLDA,2020,WOLDA_2020_04_5cfe5f7f_12th-WOLDA-Cat-210.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-210.jpg,212009,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:13
WOLDA,2020,WOLDA_2020_05_57f07f61_12th-WOLDA-Cat-211.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-211.jpg,355352,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:16
WOLDA,2020,WOLDA_2020_06_0f81461b_12th-WOLDA-Cat-212.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-212.jpg,243135,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:20
WOLDA,2020,WOLDA_2020_07_6f5c13b4_12th-WOLDA-Cat-213.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-213.jpg,355828,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:22
WOLDA,2020,WOLDA_2020_08_af4386bb_12th-WOLDA-Cat-214.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-214.jpg,230865,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:25
WOLDA,2020,WOLDA_2020_09_7203b041_12th-WOLDA-Cat-215.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-215.jpg,314017,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:28
WOLDA,2020,WOLDA_2020_10_bfa0ccd6_12th-WOLDA-Cat-216.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-216.jpg,215648,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:30
WOLDA,2020,WOLDA_2020_11_c8c301d3_12th-WOLDA-Cat-217.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-217.jpg,269142,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:34
WOLDA,2020,WOLDA_2020_12_164e296f_12th-WOLDA-Cat-218.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-218.jpg,209572,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:36
WOLDA,2020,WOLDA_2020_13_63673ec1_12th-WOLDA-Cat-219.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-219.jpg,210934,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:39
WOLDA,2020,WOLDA_2020_14_577c49a1_12th-WOLDA-Cat-22.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-22.jpg,173337,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:41
WOLDA,2020,WOLDA_2020_15_f763ae71_12th-WOLDA-Cat-220.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-220.jpg,244993,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:44
WOLDA,2020,WOLDA_2020_16_acf0201b_12th-WOLDA-Cat-221.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-221.jpg,229407,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:47
WOLDA,2020,WOLDA_2020_17_de89929d_12th-WOLDA-Cat-222.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-222.jpg,230661,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:50
WOLDA,2020,WOLDA_2020_18_1bc91ba0_12th-WOLDA-Cat-223.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-223.jpg,221175,https://wolda.org/12-wolda-logos-redesign/,2026-09-02T22:24:55
WOLDA,2021,WOLDA_2021_01_e9f3579c_preloader.png,https://wolda.org/wp-content/uploads/2020/12/preloader.png,20614,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:28
WOLDA,2021,WOLDA_2021_02_6d61e686_12th-WOLDA-Cat-71-1.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-71-1.jpg,186676,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:30
WOLDA,2021,WOLDA_2021_03_7c3cf840_12th-WOLDA-Cat-BoS1-1.jpg,https://wolda.org/wp-content/uploads/2021/12/12th-WOLDA-Cat-BoS1-1.jpg,173337,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:33
WOLDA,2021,WOLDA_2021_04_566e7c1e_13-WOLDA-Cat-21.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-21.jpg,196697,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:35
WOLDA,2021,WOLDA_2021_05_b43b3aa3_13-WOLDA-Cat-210.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-210.jpg,220789,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:37
WOLDA,2021,WOLDA_2021_06_7b2164fa_13-WOLDA-Cat-211.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-211.jpg,339387,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:42
WOLDA,2021,WOLDA_2021_07_1d152cc3_13-WOLDA-Cat-212.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-212.jpg,221731,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:44
WOLDA,2021,WOLDA_2021_08_52c0059b_13-WOLDA-Cat-213.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-213.jpg,295167,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:47
WOLDA,2021,WOLDA_2021_09_b6068652_13-WOLDA-Cat-214.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-214.jpg,243603,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:49
WOLDA,2021,WOLDA_2021_10_6ee1c757_13-WOLDA-Cat-215.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-215.jpg,287278,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:54
WOLDA,2021,WOLDA_2021_11_8cf6a3d4_13-WOLDA-Cat-216.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-216.jpg,216461,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:57
WOLDA,2021,WOLDA_2021_12_b002b8d9_13-WOLDA-Cat-217.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-217.jpg,325412,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:25:59
WOLDA,2021,WOLDA_2021_13_4c6700eb_13-WOLDA-Cat-218.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-218.jpg,233946,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:01
WOLDA,2021,WOLDA_2021_14_255d928c_13-WOLDA-Cat-219.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-219.jpg,249893,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:04
WOLDA,2021,WOLDA_2021_15_13dd18d0_13-WOLDA-Cat-22.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-22.jpg,242737,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:06
WOLDA,2021,WOLDA_2021_16_c7efb619_13-WOLDA-Cat-220.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-220.jpg,237591,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:09
WOLDA,2021,WOLDA_2021_17_f1a080be_13-WOLDA-Cat-221.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-221.jpg,263912,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:12
WOLDA,2021,WOLDA_2021_18_397c7398_13-WOLDA-Cat-222.jpg,https://wolda.org/wp-content/uploads/2022/12/13-WOLDA-Cat-222.jpg,204580,https://wolda.org/13-wolda-logos-redesign-2/,2026-09-02T22:26:15
WOLDA,2024,WOLDA_2024_01_e9f3579c_preloader.png,https://wolda.org/wp-content/uploads/2020/12/preloader.png,20614,https://wolda.org/16-wolda-logos-redesign/,2026-09-02T22:27:51
WOLDA,2024,WOLDA_2024_02_24808a0c_16-WOLDA-Results-Cat-211.jpg,https://wolda.org/wp-content/uploads/2025/12/16-WOLDA-Results-Cat-211.jpg,248724,https://wolda.org/16-wolda-logos-redesign/,2026-09-02T22:27:54
