src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/Indigo\2021\Indigo_2021_03_8b1140c9_aad86f397460a70e9c0efa90dd03ab45.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_03_8b1140c9_aad86f397460a70e9c0efa90dd03ab45.png,8429332161e5,2550,1650,2550,1650,0.1757,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_04_8f4cc432_f5afd91d3adac6136784ff84900027e4.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_04_8f4cc432_f5afd91d3adac6136784ff84900027e4.png,15b4cad080f5,1080,1080,1080,1080,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_05_5d764ffa_41575e293c7db967bb6ad2a052c405d2.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_05_5d764ffa_41575e293c7db967bb6ad2a052c405d2.png,c2e0445d92c2,1200,675,1200,675,0.3733,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_06_07d36722_638cce3e6da0a0798f1882e611502ecb.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_06_07d36722_638cce3e6da0a0798f1882e611502ecb.png,97fc76e123c8,960,652,895,465,0.5006,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_07_43939138_59dd318d4583a6610efee1c9503ab06f.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_07_43939138_59dd318d4583a6610efee1c9503ab06f.png,37aae3fbe856,1200,630,1200,627,0.3733,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_08_ac6870f6_a3e26fc230ec4e3a46696a47fee07dee.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_08_ac6870f6_a3e26fc230ec4e3a46696a47fee07dee.png,06935bb10d48,2160,2160,2160,2160,0.2074,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_09_ecb4d3bd_36729b2de0fcaf433e182c1369a19b2f.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_09_ecb4d3bd_36729b2de0fcaf433e182c1369a19b2f.png,d844396ae283,1500,1000,1500,1000,0.2987,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_10_01472696_d9251e806e954d73d08978dc506abd06.png,标准化输出/logo/Indigo\2021\Indigo_2021_10_01472696_d9251e806e954d73d08978dc506abd06.png,86d3c23f8d37,1845,860,1845,860,0.2428,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_11_0d8e97b1_2fe375f41ef6dbfdf5354d3c9665e0eb.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_11_0d8e97b1_2fe375f41ef6dbfdf5354d3c9665e0eb.png,cfa4414c7da5,1920,1080,1920,1080,0.2333,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_12_ac616167_a2125e609480955e218d11250aaebfa9.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_12_ac616167_a2125e609480955e218d11250aaebfa9.png,515a3fdd8ea1,1500,1125,1500,1125,0.2987,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_13_6a6c66e9_e00a24f9d52f5185afc1bc18421791df.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_13_6a6c66e9_e00a24f9d52f5185afc1bc18421791df.png,fcec795e2a81,8000,4500,7992,4500,0.0561,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_14_bac5fd5f_midsize-308ea3a7ad5b6331f6c2f49599a71dde.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_14_bac5fd5f_midsize-308ea3a7ad5b6331f6c2f49599a71dde.png,5717fa3bae10,600,600,518,520,0.8615,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_15_cc015d08_3b1d3e88fe5e4d3d7d2ad96e3fa85868.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_15_cc015d08_3b1d3e88fe5e4d3d7d2ad96e3fa85868.png,9c5409fb7505,1600,900,1600,900,0.28,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_16_a6e9c2aa_2f48f882331c88cb44bc5d7e93d19b46.png,标准化输出/logo/Indigo\2021\Indigo_2021_16_a6e9c2aa_2f48f882331c88cb44bc5d7e93d19b46.png,698906de5018,1000,1300,1000,1300,0.3446,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_17_f44ff8ab_98549cbe5e0f0bcb8492b92130d788f3.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_17_f44ff8ab_98549cbe5e0f0bcb8492b92130d788f3.png,8e6c2300ed57,4000,2250,4000,2250,0.112,512,448,True,False,255,logo
图包/国际奖项/Indigo\2021\Indigo_2021_18_7e44f085_9adda84b3bd919831ed15596a95e1498.jpg,标准化输出/logo/Indigo\2021\Indigo_2021_18_7e44f085_9adda84b3bd919831ed15596a95e1498.png,43f1ef3e4792,2414,1550,2414,1550,0.1856,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_01_b48565de_midsize-520db1b797024bd15b8223b06a7d8ff7.png,标准化输出/logo/Indigo\2022\Indigo_2022_01_b48565de_midsize-520db1b797024bd15b8223b06a7d8ff7.png,8f9c8d605232,600,338,600,338,0.7467,512,448,True,False,255,logo
