src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/GDC\2023\GDC_2023_01_9bd16934_07867b0490332874b26414e88259807e.webp,标准化输出/logo/GDC\2023\GDC_2023_01_9bd16934_07867b0490332874b26414e88259807e.png,82eebbdaf791,1060,749,909,589,0.4928,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_01_b764a427_06e7875845a74b2398bbe37491c71aba.webp,标准化输出/logo/GDC\2023\GDC_2023_01_b764a427_06e7875845a74b2398bbe37491c71aba.png,59c8339aa2a7,1060,749,1060,749,0.4226,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_01_cd792664_00fedb0f076b778bf3fb6677de8b4e37.webp,标准化输出/logo/GDC\2023\GDC_2023_01_cd792664_00fedb0f076b778bf3fb6677de8b4e37.png,8645bbf45eb8,1060,742,961,658,0.4662,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_16adb53a_06d24b3bd60dbc8397c8756fb064ba67.webp,标准化输出/logo/GDC\2023\GDC_2023_02_16adb53a_06d24b3bd60dbc8397c8756fb064ba67.png,3f8b2e92c8c7,1060,749,1011,689,0.4431,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_361042dd_44c5707284913aeb2668a8737ff4fb67.webp,标准化输出/logo/GDC\2023\GDC_2023_02_361042dd_44c5707284913aeb2668a8737ff4fb67.png,72165445d8fe,1060,1499,1035,1465,0.3058,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_7bbc7e9a_be3933fec8b2f5e3372343bc8e7b81c7.webp,标准化输出/logo/GDC\2023\GDC_2023_02_7bbc7e9a_be3933fec8b2f5e3372343bc8e7b81c7.png,9f2f48d90d2e,1060,1499,965,1395,0.3211,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_82374636_39a4a99377c813cd79c5b23856bc76ac.webp,标准化输出/logo/GDC\2023\GDC_2023_02_82374636_39a4a99377c813cd79c5b23856bc76ac.png,0e926d6ec9e7,1060,749,895,612,0.5006,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_b6700236_1578b34cd2ac7842a2c81cbf11ddf114.webp,标准化输出/logo/GDC\2023\GDC_2023_02_b6700236_1578b34cd2ac7842a2c81cbf11ddf114.png,b2b2fc5a9071,1060,1498,1060,1484,0.3019,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_baf72253_2ad3eacee6128fa0a80389c5e5a147e6.webp,标准化输出/logo/GDC\2023\GDC_2023_02_baf72253_2ad3eacee6128fa0a80389c5e5a147e6.png,231d2578d6e9,1060,749,841,622,0.5327,512,448,True,False,255,logo
图包/中文奖项/GDC\2023\GDC_2023_02_c581dd20_2e58bb0332756d6e0e0f0824fb9359be.webp,标准化输出/logo/GDC\2023\GDC_2023_02_c581dd20_2e58bb0332756d6e0e0f0824fb9359be.png,5584a8b6153b,1060,596,1052,596,0.4259,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_01_1536_27165-hwusUNxkPjkF02le4RS7HcGOLn9FtoLGyYchEBPCVCS3fppU.png,标准化输出/logo/GDC\2025\GDC_2025_01_1536_27165-hwusUNxkPjkF02le4RS7HcGOLn9FtoLGyYchEBPCVCS3fppU.png,5da4b907e6e7,2756,1720,2756,1720,0.1626,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_02_1534_25416-o4C2T7iYxT4KRDj1nZTPDNMir39fcjllAYAelv2LZhfH5px2.jpg,标准化输出/logo/GDC\2025\GDC_2025_02_1534_25416-o4C2T7iYxT4KRDj1nZTPDNMir39fcjllAYAelv2LZhfH5px2.png,699c33a8f742,7974,5315,7974,5315,0.0562,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_03_1533_23351-1j6j0UqvWxHJcowkUjBWGHiKaCWpeqUPlkiITSUL9AlQp95d.jpg,标准化输出/logo/GDC\2025\GDC_2025_03_1533_23351-1j6j0UqvWxHJcowkUjBWGHiKaCWpeqUPlkiITSUL9AlQp95d.png,95a87ed38c7a,3508,2480,3405,2307,0.1316,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_04_1316_25189-Z2HXv3lBDfIumsUg6YkrjqxFUIJ6TjhBfnuOjrabUBeuidwv.jpg,标准化输出/logo/GDC\2025\GDC_2025_04_1316_25189-Z2HXv3lBDfIumsUg6YkrjqxFUIJ6TjhBfnuOjrabUBeuidwv.png,21d27e3e55f0,5906,4429,5906,4429,0.0759,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_05_1315_21637-WOuuBZkseNBxYxqAhlivss0QEUHwdXoVMhHNV6h1RJwRoeVZ.jpg,标准化输出/logo/GDC\2025\GDC_2025_05_1315_21637-WOuuBZkseNBxYxqAhlivss0QEUHwdXoVMhHNV6h1RJwRoeVZ.png,0c97d34da0e3,1620,1080,1620,1080,0.2765,512,448,True,False,255,logo
